"","uID","Year","Outcome","months_with_outcome","Txmonths","isCoal","initialYear","S_n_CR","avgNOxControls","scrubber","totOpTime","NOxemissions","SO2emissions","CO2emissions","GrossLoad","HeatInput","pctCapacity","Phase2","EPA.Region","Latitude","Longitude","Tx","coal_no_scrubber","coal_with_scrubber"
"3277","8049_**8",2014,17.249,12,0,FALSE,NA,FALSE,1,FALSE,575.99,17.249,0.164,27770.801,33500.86,463464.07,0.0442141625090987,1,4,28.2628,-81.5486,FALSE,FALSE,FALSE
"3278","8049_**9",2014,14.322,12,0,FALSE,NA,FALSE,1,FALSE,457.53,14.322,0.123,21773.024,26442.54,363744.199,0.0357662638116269,1,4,28.2628,-81.5486,FALSE,FALSE,FALSE
"3279","8049_3A",2014,1.035,12,0,FALSE,NA,FALSE,0,FALSE,15.31,1.035,0.007,306.996,260.35,3784.107,0.000618533832116291,0,4,28.2628,-81.5486,FALSE,FALSE,FALSE
"3280","8049_3B",2014,1.005,12,0,FALSE,NA,FALSE,0,FALSE,15.31,1.005,0.007,294.117,260.35,3623.873,0.000592424165240737,0,4,28.2628,-81.5486,FALSE,FALSE,FALSE
"3281","8053_PT01",2014,2.39,12,12,FALSE,NA,TRUE,0,FALSE,1017.13,2.39,0.127,25370.202,45798.8,426895.823,0.0938944827994459,1,2,40.6188,-74.069,TRUE,FALSE,FALSE
"3282","8056_2",2002,842.628,12,0,FALSE,NA,FALSE,1,FALSE,8345,842.628,3.033,600605.08,865393,10107024.2,0.287718695869144,1,6,29.9994,-90.4758,FALSE,FALSE,FALSE
"3283","8056_2",2014,505.536,12,0,FALSE,NA,FALSE,2,FALSE,4827.75,505.536,3.649,492379.557,727241.82,8284406.84,0.204320596585137,1,6,29.9994,-90.4758,FALSE,FALSE,FALSE
"3284","8059_7251",2002,1529.94,12,0,FALSE,NA,FALSE,0,FALSE,7595.25,1529.94,1.825,361711.165,418310,6086399.7,0.480254484967947,1,6,34.5431,-98.3244,FALSE,FALSE,FALSE
"3285","8059_7251",2014,677.835,12,0,FALSE,NA,FALSE,0,FALSE,2999.01,677.835,0.7,138421.376,158723.83,2329229.21,0.183041728482117,1,6,34.5431,-98.3244,FALSE,FALSE,FALSE
"3286","8059_7252",2002,1443.917,12,0,FALSE,NA,FALSE,0,FALSE,7875.25,1443.917,1.911,378655.52,441517,6371485.8,0.502256635350613,1,6,34.5431,-98.3244,FALSE,FALSE,FALSE
"3287","8063_1",2002,5630.696,12,0,FALSE,NA,FALSE,0,FALSE,7462.74,5630.696,10.719,1788279.75,3035890,30079341,0.423012256978663,1,6,32.4033,-97.6986,FALSE,FALSE,FALSE
"3288","8063_CT1",2014,28.03,12,0,FALSE,NA,FALSE,1,FALSE,185.37,28.03,0.042,NA,10067.85,137408.1,0.013660348728168,0,6,32.4033,-97.6986,FALSE,FALSE,FALSE
"3289","8063_CT2",2014,22.945,12,0,FALSE,NA,FALSE,1,FALSE,148.17,22.945,0.615,NA,8196.65,112435.8,0.0112200730408918,0,6,32.4033,-97.6986,FALSE,FALSE,FALSE
"3290","8063_CT3",2014,18.365,12,0,FALSE,NA,FALSE,1,FALSE,114.74,18.365,0.028,NA,6597.99,89960.4,0.00898398637034078,0,6,32.4033,-97.6986,FALSE,FALSE,FALSE
"3291","8063_CT4",2014,15.443,12,0,FALSE,NA,FALSE,1,FALSE,99.76,15.443,0.48,NA,5597.87,75986.1,0.00757789586682993,0,6,32.4033,-97.6986,FALSE,FALSE,FALSE
"3292","8066_BW71",2002,7412.847,12,0,TRUE,NA,FALSE,1,TRUE,7437.73,7412.847,4812.782,3906250.37,3588342,38072585.9,0.552114527531222,1,8,41.7378,-108.7875,FALSE,FALSE,TRUE
"3293","8066_BW71",2014,2997.395,12,0,TRUE,NA,FALSE,1,TRUE,7265.47,2997.395,2424.283,3305065.451,3381707.1,31512810.524,0.457281881323537,1,8,41.7378,-108.7875,FALSE,FALSE,TRUE
"3294","8066_BW72",2002,7358.515,12,0,TRUE,NA,FALSE,1,TRUE,7964.97,7358.515,5246.321,4132910,3970020,40285426,0.583325244312483,1,8,41.7378,-108.7875,FALSE,FALSE,TRUE
"3295","8066_BW72",2014,3695.898,12,0,TRUE,NA,FALSE,1,TRUE,8480.6,3695.898,2997.639,4025048.3,3949176.8,38377663,0.556909104667355,1,8,41.7378,-108.7875,FALSE,FALSE,TRUE
"3296","8066_BW73",2002,8312.933,12,0,TRUE,NA,FALSE,1,TRUE,8428.01,8312.933,6738.089,4640809.3,4207339,45232241,0.691775303360146,1,8,41.7378,-108.7875,FALSE,FALSE,TRUE
"3297","8066_BW73",2014,3762.194,12,0,TRUE,NA,FALSE,1,TRUE,8583.78,3762.194,2805.645,3951359.9,3834914.4,37675051,0.576761616059777,1,8,41.7378,-108.7875,FALSE,FALSE,TRUE
"3298","8066_BW74",2002,7559.319,12,0,TRUE,NA,FALSE,1,TRUE,7823.39,7559.319,3289.861,3940472.1,3798068,38406175,0.581004314556226,1,8,41.7378,-108.7875,FALSE,FALSE,TRUE
"3299","8066_BW74",2014,3446.359,12,0,TRUE,NA,FALSE,1,TRUE,8550.98,3446.359,2497.236,3515699.1,3839282.8,33521168,0.508064350407173,1,8,41.7378,-108.7875,FALSE,FALSE,TRUE
"3300","8068_6A",2014,35.74,12,12,FALSE,NA,TRUE,0,FALSE,4149.69,35.74,1.866,369823.981,858379.06,6223110.79,0.316458676917015,1,9,33.3333,-111.751,TRUE,FALSE,FALSE
"3301","8069_1",2002,6236.762,12,0,TRUE,1977,FALSE,1,TRUE,8144.32,6236.762,2630.827,3298680.9,3485581,32151774,0.697293711540799,1,8,39.3792,-111.0781,FALSE,FALSE,TRUE
"3302","8069_2",2014,3797.757,12,0,TRUE,1974,FALSE,1,TRUE,8415.17,3797.757,1254.28,3451637.7,3486310.9,33641677,0.670132051449141,1,8,39.3792,-111.0781,FALSE,FALSE,TRUE
"3303","8102_2",2014,5013.836,12,12,TRUE,1975,TRUE,1,TRUE,7897.93,5013.836,20192.868,9640094.7,9920212.2,92461373,0.883255173952223,0,5,38.9347,-82.1158,TRUE,FALSE,TRUE
"3304","8219_1",2002,2830.669,12,0,TRUE,1980,FALSE,1,FALSE,8281,2830.669,4968.275,1881113.9,1791173,18339257.4,0.820640230841441,1,8,38.6306,-104.7056,FALSE,TRUE,FALSE
"3305","8222_B1",2002,13173.229,12,0,TRUE,NA,FALSE,0,TRUE,8178,13173.229,14068.678,3948732.2,3258668,36270123,0.784474694127513,1,8,47.2217,-101.8139,FALSE,FALSE,TRUE
"3306","8222_B1",2014,11374.475,12,0,TRUE,NA,FALSE,0,TRUE,7641.3,11374.475,12777.11,3505390.93,2914829.1,32197997.7,0.696787849068805,1,8,47.2217,-101.8139,FALSE,FALSE,TRUE
"3307","8223_1",2002,6342.381,12,0,TRUE,1985,FALSE,1,TRUE,7867.13,6342.381,9807.013,3171808.69,3237434,30914347.7,0.752397139668591,1,9,34.3186,-109.1636,FALSE,FALSE,TRUE
"3308","8223_1",2014,2406.394,12,0,TRUE,1985,FALSE,1,TRUE,8159.74,2406.394,2789.542,2778307,3161000.6,26490376,0.643512031124602,1,9,34.3186,-109.1636,FALSE,FALSE,TRUE
"3309","8223_2",2002,6229.228,12,0,TRUE,1990,FALSE,1,TRUE,8682.16,6229.228,10055.157,3279264.9,3356153,31961643,0.775673339275143,1,9,34.3186,-109.1636,FALSE,FALSE,TRUE
"3310","8223_4",2014,956.473,12,12,TRUE,2009,TRUE,1,TRUE,6960.98,956.473,972.45,2648204.693,2784838.2,25262424.31,0.571382162613963,1,9,34.3186,-109.1636,TRUE,FALSE,TRUE
"3311","8223_TS3",2014,1102.066,12,12,TRUE,NA,TRUE,1,TRUE,8594.14,1102.066,902.054,3117112.8,3118859.8,29731373,0.673795388090023,1,9,34.3186,-109.1636,TRUE,FALSE,TRUE
"3312","8224_1",2002,2857.163,12,0,TRUE,1981,FALSE,1,FALSE,8226.5,2857.163,5321.934,1995231.28,2007541,19446705.1,0.866249205454306,1,9,40.8831,-117.1542,FALSE,TRUE,FALSE
"3313","8224_1",2014,2112.077,12,0,TRUE,1981,FALSE,1,FALSE,7739.59,2112.077,5976.105,1505749.44,1662292.44,14356991.9,0.595586719848252,1,9,40.8831,-117.1542,FALSE,TRUE,FALSE
"3314","8224_2",2002,5013.705,12,0,TRUE,1985,FALSE,1,TRUE,8472.25,5013.705,1551.87,2513664.5,2300477,24499701,0.917610653981247,1,9,40.8831,-117.1542,FALSE,FALSE,TRUE
"3315","8224_2",2014,2228.952,12,0,TRUE,1985,FALSE,1,TRUE,6372.23,2228.952,1453.989,1376276.014,1340467.9,13122424.78,0.491755396762442,1,9,40.8831,-117.1542,FALSE,FALSE,TRUE
"3316","8226_1",2014,6101.096,12,12,TRUE,1970,TRUE,1,TRUE,6808.76,6101.096,4445.288,3137428,3182831,30639565,0.584301556055143,0,3,40.5383,-79.7906,TRUE,FALSE,TRUE
"3317","856_1",2002,1306.141,12,0,TRUE,1960,FALSE,1,FALSE,8315.5,1306.141,11398.8,651130.09,551841,6416601.2,0.48177454385078,1,5,40.5958,-89.6631,FALSE,TRUE,FALSE
"3318","856_2",2002,3900.758,12,0,TRUE,1968,FALSE,1,FALSE,8131,3900.758,14666.285,1771395.58,1645934,17222008.1,0.591736784140013,1,5,40.5958,-89.6631,FALSE,TRUE,FALSE
"3319","856_2",2014,1722.6,12,0,TRUE,1968,FALSE,1,FALSE,8138.44,1722.6,4020.834,1951803.5,1854000.1,18609882,0.638868516933674,1,5,40.5958,-89.6631,FALSE,TRUE,FALSE
